            단어                                       의미
         usual                          [형] 늘 하는, 흔히 있는
       routine               [명] 틀에 박힌 일 [형] 일상적인, 지루한
     eliminate                           [동] 제거하다, 삭제하다
          deny                           [동] 부인하다, 거절하다
     sensitive                             [형] 민감한, 예민한
        tragic                                 [형] 비극적인
       deprive                            [동] 빼앗다, 강탈하다
     conscious                         [형] 의식하는, 의식이 있는
     interfere                                 [동] 간섭하다
     temporary                                  [형] 임시의
       council                                   [명] 의회
    adolescent                        [명] 청소년 [형] 청소년의
        arctic                                  [형] 북극의
       capture                            [동] 붇잡다, 점유하다
        dilute                 [형] 묽은 [동] 묽게 하다, 약화시키다
     associate                   [동] 연상하다, 어울리다 [명] 동료
        figure               [명] 숫자, 인물 [동] 이해하다, 계산하다
     warehouse                                   [명] 창고
          crew       [명] 승무원, (특별한 기술의)팀 [동] 승무원으로 일하다
       barrier                              [명] 장벽, 장애물
    pedestrian                        [명] 보행자 [형] 보행자의
        glance                      [동] 흘꿋 보다 [명] 흘끗 봄
        errand                                  [명] 심부름
      irritate                        [동] 짜증나게 하다, 자극하다
       welfare                               [명] 복지, 행복
         cruel                             [형] 잔인한, 비참한
          fold                           [동] 주름 [동] 접다
         trial                               [명] 재판, 시험
         tribe                                   [명] 부족
      profound                              [형] 깊은, 심오한
     tradition                                   [명] 전통
   distinguish                                 [동] 구별하다
     statement                          [명] 진술, 성명, 진술서
       prevail                           [동] 만연하다, 우세하다
    widespread                                [형] 널리 퍼진
        result                                   [명] 결과
          fade                      [동] 사라지다, (색깔이) 바래다
      progress                       [명] 진전, 진보[동] 진보하다
        weapon                                   [명] 무기
       drastic                             [형] 과감한, 격렬한
 reinforcement                            [명] 병력 증강, 강화
        wonder                    [동] 궁금해하다, 놀라다[명] 놀라움
          pile                             [명] 더미[동] 쌓다
       protect                                 [동] 보호하다
     infection                                   [명] 감염
       stiffen                                 [동] 굳어지다
      endanger                             [동] 위험에 빠뜨리다
        adjust                           [동] 조절하다, 적응하다
          peer                  [명] 동료, 또래[동] 자세히 들여다보다
         renew                         [동] 새롭게 하다, 연장하다
          germ                            [명] 세균, 싹, 근원
          atom                                   [명] 원자
       realize                            [동] 깨닫다, 실현하다
        enrich                              [동] 부유하게 하다
         noble                             [형] 고결한, 귀족의
        repair                           [동] 수리하다[명] 수리
     candidate                                  [명] 후보자
         ideal                           [형] 이상적인[명] 이상
          crop                                  [명] 농작물
        ethnic                                  [형] 민족의
      foretell                                 [동] 예언하다
     wholesale                             [형] 도매의, 대량의
          debt                                   [명] 부채
representative                                  [명] 대표자
         shift                            [동] 바꾸다[명] 변화
        strict                             [형] 엄격한, 엄밀한
     appliance                                 [명] 가전제품
   furthermore                             [부] 더욱이, 게다가
        excess                               [명] 초과, 과다
       command                 [동] 명령하다, 지휘하다[동] 명령, 지휘
     ecosystem                                  [명] 생태계
          fame                                   [명] 명성
          oral                           [형] 입의[명] 구술시험
         drift             [명] 표류, 일반적인 경향[동] 떠돌다, 방황하다
   outstanding                           [형] 뛰어난, 눈에 띄는
       mislead                           [동] 잘못 판단하게 하다
      dedicate                        [동] (시간, 노력을) 바치다
         avoid                            [동] 피하다, 방지하다
       initial             [형] 초기의, 처음의 [명] 머리글자 (이니셜)
          sink                                 [동] 가라앉다
         beard                                  [명] 턱수염
         haste                                  [명] 서두름
         crush                           [동] 으스러뜨리다, 빻다
      confront                            [동] 맞서다, 직면하다
       destiny                                   [명] 운명
      hardship                               [명] 고난, 고통
        escape               [동] 탈출하다, 벗어나다 [명] 탈출, 도피
         valid                             [형] 타당한, 유효한
        entire                 [형] 전체의, 완전한 [명] 전부, 전체
       dispose                           [동] 배치하다, 처리하다
       optimal                                  [형] 최적의
      hydrogen                                   [명] 수소
        thread                         [명] 실 [동] 실을 꿰다
       dynasty                                   [명] 왕조
       scatter                            [동] 뿌리다, 흩어지다
        gamble                [동] 돈을 걸다, 도박을 하다 [명] 도박
        temper                               [명] 성질, 기분
         exist                           [동] 존재하다, 살아가다
   undoubtedly                        [부] 의심할 여지없이, 확실히
          raft                             [명] 뗏목, 비닐보트
       minimal                           [형] 최소의, 아주 적은
          soak                               [동] 흠뻑 적시다
         craft                  [명] 공예, 기술 [동] 공들여 만들다
        combat                          [명] 전투 [동] 싸우다
         cease                                 [동] 중단하다
       ceiling                            [명] 천장, 최고 한도
         unify                           [동] 통합하다, 통일하다
   perspective                               [명] 견해, 관점
          doom                     [명] 나쁜 운명 [동] 운명 짓다
          bump                                 [동] 부딫치다
       primary                              [형] 주된, 초기의
